Production,Total Yield QTY,UoM,Total Reject Qty,UoM,Date,Finish Time,SAP Component number,Total Material A-grade (pcs),"Reject Material Reject Bin
  (pcs)",SAP Description,Qty consumed,UoM
"1347377 06/28/2020, 07:02:53",738,EA,12,EA,6/28/2020,7:01,300000,738,12,Chips,"50,776.12",KG
"1347377 06/28/2020, 07:02:53",738,EA,12,EA,6/28/2020,7:01,300601,738,12,Lupranate M20 MDI,949.62,KG
"1347377 06/28/2020, 07:02:53",738,EA,12,EA,6/28/2020,7:01,300012,738,12,Wax Emulsion,169.59,KG
"1347377 06/28/2020, 07:02:53",738,EA,12,EA,6/28/2020,7:01,300011,738,12,MUF,0.00,KG
"1347377 06/28/2020, 07:02:53",738,EA,12,EA,6/28/2020,7:01,300220,738,12,Urea,0.00,KG
"3451324 06/28/2020, 18:20:43",9,EA,4,EA,6/28/2020,18:19,300000,9,4,Chips,"15,843.82",KG
"3451324 06/28/2020, 18:20:43",9,EA,4,EA,6/28/2020,18:19,300601,9,4,Lupranate M20 MDI,295.69,KG
"3451324 06/28/2020, 18:20:43",9,EA,4,EA,6/28/2020,18:19,300012,9,4,Wax Emulsion,38.56,KG
"3451324 06/28/2020, 18:20:43",9,EA,4,EA,6/28/2020,18:19,300011,9,4,MUF,0.00,KG
"3451324 06/28/2020, 18:20:43",9,EA,4,EA,6/28/2020,18:19,300220,9,4,Urea,0.00,KG
"1347317 06/28/2020, 05:34:51","1,653",EA,45,EA,6/28/2020,5:33,300000,"1,653",45,Chips,"110,965.04",KG
"1347317 06/28/2020, 05:34:51","1,653",EA,45,EA,6/28/2020,5:33,300601,"1,653",45,Lupranate M20 MDI,"2,316.48",KG
"1347317 06/28/2020, 05:34:51","1,653",EA,45,EA,6/28/2020,5:33,300012,"1,653",45,Wax Emulsion,"1,419.12",KG
"1347317 06/28/2020, 05:34:51","1,653",EA,45,EA,6/28/2020,5:33,300011,"1,653",45,MUF,0.00,KG
"1347317 06/28/2020, 05:34:51","1,653",EA,45,EA,6/28/2020,5:33,300220,"1,653",45,Urea,0.00,KG
"1347315 06/28/2020, 02:05:43",104,EA,21,EA,6/28/2020,2:04,300000,104,21,Chips,"15,293.68",KG
"1347315 06/28/2020, 02:05:43",104,EA,21,EA,6/28/2020,2:04,300601,104,21,Lupranate M20 MDI,270.04,KG
"1347315 06/28/2020, 02:05:43",104,EA,21,EA,6/28/2020,2:04,300012,104,21,Wax Emulsion,195.90,KG
"1347315 06/28/2020, 02:05:43",104,EA,21,EA,6/28/2020,2:04,300011,104,21,MUF,0.00,KG
"1347315 06/28/2020, 02:05:43",104,EA,21,EA,6/28/2020,2:04,300220,104,21,Urea,0.00,KG
"1347316 06/28/2020, 03:07:46",709,EA,14,EA,6/28/2020,3:06,300000,709,14,Chips,"59,499.92",KG
"1347316 06/28/2020, 03:07:46",709,EA,14,EA,6/28/2020,3:06,300601,709,14,Lupranate M20 MDI,"1,096.04",KG
"1347316 06/28/2020, 03:07:46",709,EA,14,EA,6/28/2020,3:06,300012,709,14,Wax Emulsion,752.11,KG
"1347316 06/28/2020, 03:07:46",709,EA,14,EA,6/28/2020,3:06,300011,709,14,MUF,0.00,KG
"1347316 06/28/2020, 03:07:46",709,EA,14,EA,6/28/2020,3:06,300220,709,14,Urea,0.00,KG
"1347314 06/28/2020, 01:48:43",577,EA,143,EA,6/28/2020,1:48,300000,577,143,Chips,"120,515.64",KG
"1347314 06/28/2020, 01:48:43",577,EA,143,EA,6/28/2020,1:48,300601,577,143,Lupranate M20 MDI,"1,999.25",KG
"1347314 06/28/2020, 01:48:43",577,EA,143,EA,6/28/2020,1:48,300012,577,143,Wax Emulsion,"1,543.52",KG
"1347314 06/28/2020, 01:48:43",577,EA,143,EA,6/28/2020,1:48,300011,577,143,MUF,0.00,KG
"1347314 06/28/2020, 01:48:43",577,EA,143,EA,6/28/2020,1:48,300220,577,143,Urea,0.00,KG
"3451327 06/28/2020, 17:51:43","2,204",EA,256,EA,6/28/2020,17:50,300000,"2,204",256,Chips,"129,091.04",KG
"3451327 06/28/2020, 17:51:43","2,204",EA,256,EA,6/28/2020,17:50,300601,"2,204",256,Lupranate M20 MDI,"2,315.63",KG
"3451327 06/28/2020, 17:51:43","2,204",EA,256,EA,6/28/2020,17:50,300012,"2,204",256,Wax Emulsion,302.77,KG
"3451327 06/28/2020, 17:51:43","2,204",EA,256,EA,6/28/2020,17:50,300011,"2,204",256,MUF,0.00,KG
"3451327 06/28/2020, 17:51:43","2,204",EA,256,EA,6/28/2020,17:50,300220,"2,204",256,Urea,0.00,KG
"1347377 06/28/2020, 09:41:59","1,441",EA,21,EA,6/28/2020,9:40,300000,"1,441",21,Chips,"97,586.78",KG
"1347377 06/28/2020, 09:41:59","1,441",EA,21,EA,6/28/2020,9:40,300601,"1,441",21,Lupranate M20 MDI,"1,832.59",KG
"1347377 06/28/2020, 09:41:59","1,441",EA,21,EA,6/28/2020,9:40,300012,"1,441",21,Wax Emulsion,241.25,KG
"1347377 06/28/2020, 09:41:59","1,441",EA,21,EA,6/28/2020,9:40,300011,"1,441",21,MUF,0.00,KG
"1347377 06/28/2020, 09:41:59","1,441",EA,21,EA,6/28/2020,9:40,300220,"1,441",21,Urea,0.00,KG
"3451326 06/28/2020, 13:39:06","2,208",EA,111,EA,6/28/2020,13:37,300000,"2,208",111,Chips,"153,564.32",KG
"3451326 06/28/2020, 13:39:06","2,208",EA,111,EA,6/28/2020,13:37,300601,"2,208",111,Lupranate M20 MDI,"2,826.28",KG
"3451326 06/28/2020, 13:39:06","2,208",EA,111,EA,6/28/2020,13:37,300012,"2,208",111,Wax Emulsion,371.66,KG
"3451326 06/28/2020, 13:39:06","2,208",EA,111,EA,6/28/2020,13:37,300011,"2,208",111,MUF,0.00,KG
"3451326 06/28/2020, 13:39:06","2,208",EA,111,EA,6/28/2020,13:37,300220,"2,208",111,Urea,0.00,KG
